EVTOPTA_EADAS_6001;Borrow 50 gold;Emprunter 50 piиces d'or;50 Goldstьcke borgen;;Tomar prestado 50 de oro;;;;;;;;;x
EVTOPTB_EADAS_6001;Borrow 250 gold;Emprunter 250 piиces d'or;250 Goldstьcke borgen;;Tomar prestado 250 de oro;;;;;;;;;x
EVTOPTC_EADAS_6001;Borrow 500 gold;Emprunter 500 piиces d'or;500 Goldstьcke borgen;;Tomar prestado 500 de oro;;;;;;;;;x
EVTOPTD_EADAS_6001;Borrow nothing;Ne pas emprunter;Nichts borgen;;No tomar prestado nada;;;;;;;;;x
EVTDESC_EADAS_6005;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nYour generous gift to the Order shall not be forgotten. The money will come to good use in the defense against those who threaten the true faith. \n\nPraise be to [Root.Religion.GetHighGodNameCap]!\nSigned, Grand Master [From.GetFirstName];;;;;;;;;;x
EVTOPTA_EADAS_6005;Excellent.;Excellent.;Hervorragend.;;Excelente.;;;;;;;;;x
EVTOPTA_EADAS_6260;This is highly unfortunate.;Cette situation est trиs regrettable.;Das ist дuЯerst bedauerlich.;;Es un suceso terrible.;;;;;;;;;x
EVTOPTA_EADAS_6260_TT;You fail your mission to train an apprentice.\n;Vous йchouez а votre mission visant а former un apprenti.\n;Eure Mission, einen Schьler auszubilden, ist gescheitert.\n;;Tu misiуn de entrenar a un aprendiz ha fracasado.;;;;;;;;;x
EVTDESC_EADAS_6901;I am trying to focus on my training, but [From.GetSheHe] is always there! No matter if I am studying in the great Order library, hid behind piles of books, or sparring with a fellow Assassin, [From.GetTitledFirstName] apparently has to do the same. And [From.GetHerHis] taunts and snide comments! They are driving me mad!;J'essaie de me concentrer sur ma formation, mais [From.GetIlElle] est encore lа ! Que j'йtudie dans la grande bibliothиque de l'Ordre, que je me cache derriиre des piles de livres ou que je combatte avec un camarade assassin, [From.Get_le_TitledFirstName] doit apparemment faire la mкme chose. Et avec des commentaires narquois en plus ! [From.GetIlElleCap] est pйnible !;Ich versuche, mich auf meine Ausbildung zu konzentrieren, aber [From.GetSheHe] ist immer da! Ganz gleich, ob ich in der groЯen Bibliothek des Ordens hinter einem Bьcherstapel verborgen studiere oder mich mit einem anderen Assassinen im Ьbungskampf messe, muss [From.GetTitledFirstName] offenbar stets gerade dasselbe machen. [From.GetHerHisCap]e Spцtteleien und abfдlligen Kommentare treiben mich noch in den Wahnsinn!;;Estoy intentando concentrarme en mi formaciуn, Ўpero [From.GetSheHe] siempre estб ahн! Da igual que estй estudiando en la gran biblioteca de la orden, que me esconda detrбs de pilas de libros, o entrenando con un compaсero asesino, allн estб [From.GetTitledFirstName]. ЎY quй provocaciones y comentarios insidiosos! ЎEsto es una locura!;;;;;;;;;x
EVTOPTA_EADAS_6901;It is time to really determine who the superior assassin is.;Il est temps de dйterminer qui est vraiment le meilleur assassin.;Es ist Zeit, herauszufinden, wer der bessere Assassine ist.;;Es hora de averiguar quiйn es realmente mejor asesino/a.;;;;;;;;;x
EVTOPTA_EADAS_6901_TT;Challenge §Y[From.GetTitledFirstName]§!. This might have a number of outcomes, depending on whether you win or lose and how [From.GetSheHe] takes it. You might learn a permanent or temporary skill, get injured, gain a new friend or declare a new rival.;Vous dйfiez [From.Get_le_TitledFirstNameJ]. Cela pourrait avoir un certain nombre de consйquences, selon que vous gagniez ou perdiez, et de comment [From.GetIlElle] le prend. Vous pourriez acquйrir une compйtence permanente ou temporaire, vous blesser ou bien vous faire un[From.Get_E] nouve[From.GetLLle] ami[From.Get_E] ou un[From.Get_E] rival[From.Get_E].;Fordert §Y[From.GetTitledFirstName]§! heraus. Dies kann zu mehreren verschiedenen Resultaten fьhren, je nachdem, ob Ihr gewinnt oder verliert und wie [From.GetSheHe] darauf reagiert. Ihr kцnnt eine permanente oder temporдre Fertigkeit erlernen, eine Verletzung erleiden, einen neuen Freund gewinnen oder einen neuen Rivalen bekommen.;;Desafнas a §Y[From.GetTitledFirstName]§!. Esto podrнa tener una serie de resultados, dependiendo de si ganas o pierdes y de cуmo se lo tome. Podrнas aprender una habilidad permanente o temporal, herirte o ganar un amigo o rival.;;;;;;;;;x
EVTOPTB_EADAS_6901;Let [From.GetHerHim] try – I am not easily provoked!;Laissons-[From.GetLeLa] essayer – on ne me provoque pas facilement !;[From.GetSheHeCap] mцge es getrost versuchen. Ich lasse mich nicht leicht provozieren!;;Dйjale intentarlo, Ўa mн no me provocan fбcilmente!;;;;;;;;;x
EVTOPTB_EADAS_6901_TT;Ignore §Y[From.GetTitledFirstName]§! and focus on your training.\n;Vous ignorez [From.Get_le_TitledFirstNameJ] et vous vous concentrez sur votre formation.\n;Ignoriert §Y[From.GetTitledFirstName]§! und konzentriert Euch auf Euer Training.\n;;Ignora a §Y[From.GetTitledFirstName]§! y cйntrate en tu formaciуn.\n;;;;;;;;;x
EVTDESC_EADAS_6908_A;[From.GetTitledFirstName] was not slow to accept my challenge. It was a simple one: we would both craft disguises and enter the nearby town at noon the next day. The first person to spot the other, sneak up on them and place a dagger at their throat would be the winner!;[From.Get_Le_TitledFirstName] n'a pas tardй а accepter mon dйfi. Nous devons nous dйguiser et entrer dans la ville voisine le lendemain а midi. La premiиre personne а repйrer l'autre doit placer furtivement un poignard sous sa gorge et serait victorieuse !;[From.GetTitledFirstName] hat meine Herausforderung sofort akzeptiert. Die Herausforderung war ganz einfach: Wir beide werden Verkleidungen anfertigen und am nдchsten Tag gegen Mittag die nahegelegene Stadt besuchen. Der erste von uns, der den anderen erkennt, sich an ihn heranschleicht und ihm den Dolch an die Kehle setzt, gewinnt!;;[From.GetTitledFirstName] no tardу en aceptar mi desafнo. Era simple: ambos nos disfrazarнamos y entrarнamos en el pueblo mбs cercano a mediodнa al dнa siguiente. ЎEl primero en encontrar al otro, acercarse a hurtadillas y colocarle una daga en el gaznate ganarнa!;;;;;;;;;x
EVTDESC_EADAS_6908_B;[From.GetTitledFirstName] gladly accepted my challenge. We decided to not complicate anything – a duel at midday the following day, a pair of daggers our only weapons. The first person to draw blood would be the winner.;[From.Get_Le_TitledFirstName] a acceptй volontiers mon dйfi. Nous avons dйcidй de faire simple – un duel le lendemain а midi et une paire de poignards comme seules armes. La premiиre personne а faire couler le sang sera victorieuse.;[From.GetTitledFirstName] hat meine Herausforderung gerne akzeptiert. Wir haben beschlossen, die Sache nicht allzu kompliziert zu machen: Ein Duell am Mittag des folgenden Tages, nur mit zwei Dolchen bewaffnet. Der erste von uns, der dem anderen eine Wunde zufьgt, gewinnt.;;[From.GetTitledFirstName] aceptу mi desafнo con mucho gusto. Decidimos no complicarlo demasiado: un duelo a mediodнa al dнa siguiente y un par de dagas como ъnicas armas. La primera persona en sacar sangre, ganarнa.;;;;;;;;;x
EVTOPTA_EADAS_6908;I am ready.;Je suis prкt[Root.Get_E].;Ich bin bereit.;;Cuando quieras.;;;;;;;;;x
EVTOPTA_EADAS_6908_TT;The challenge is about to begin.\n;Le dйfi va bientфt commencer.\n;Die Herausforderung wird gleich beginnen.\n;;El reto estб a punto de empezar.\n;;;;;;;;;x
EVTDESC_EADAS_6903_A;I was sweating underneath my heavy robe and veil in the relentless noon sun, but this was what my training prepared me for. I kept my eyes peeled and within the hour I spotted another whose gait was incredibly familiar. As I placed the dagger against [From.GetFirstName]'s throat, [From.GetSheHe] laughed heartily. ' A fair victory, [Root.GetSocietyRank].';J'йtais en sueur sous ma robe lourde et mon voile sous le soleil implacable de midi, mais c'est ce а quoi mon entraоnement m'avait prйparй. J'ai gardй l'oeil ouvert, et dans l'heure, j'ai repйrй quelqu'un dont la dйmarche m'йtait incroyablement familiиre. Lorsque j'ai placй le poignard contre la gorge de [From.GetFirstName], [From.GetIlElle] riait de bon coeur. « Une belle victoire, [Root.GetSocietyRank] ».;Ich schwitzte in der unerbittlichen Mittagssonne unter meiner schweren Robe und meinem Schleier, doch darauf hatte mich mein Training vorbereitet. Ich hielt meine Augen offen und erspдhte binnen einer Stunde eine andere Person, deren Gang mir unglaublich vertraut erschien. Als ich [From.GetFirstName] den Dolch an die Kehle setzte, lachte [From.GetSheHe] aus vollem Herzen: "Ein fairer Sieg, [Root.GetSocietyRank].";;"El sudor brotaba bajo mi pesada bata, mi velo y el incesante sol del mediodнa, pero mi entrenamiento me habнa preparado para todo ello. Mantuve los ojos abiertos y una hora mбs tarde vi a otra persona cuyo andar me resultaba increнblemente familiar. Cuando puse la daga contra la garganta de [From.GetFirstName], se rio de buena gana. "Una victoria justa, [Root.GetSocietyRank]".";;;;;;;;;x
EVTDESC_EADAS_6903_B;We were evenly matched, [From.GetTitledFirstName] and I. We had been at it for... hours? I knew I would not last for much longer, and as a last desperate measure, I fearlessly lunged at [From.GetHerHim]. We fell to the ground and I managed to nick [From.GetHerHis] arm. [From.GetFirstName]'s body shook as [From.GetSheHe] laughed underneath me. 'A fair victory, [Root.GetSocietyRank].';Nous йtions а niveau йgal, [From.Get_le_TitledFirstName] et moi. Nous l'avons йtй pendant... des heures ? Je savais que je ne tiendrais pas longtemps, et comme tentative dйsespйrйe, je me suis jetй sans crainte sur [From.GetLuiElle]. Nous sommes tombйs а terre et j'ai rйussi а entailler son bras. Le corps de [From.GetFirstName] tremblait alors qu'[From.GetIlElle] gloussait en dessous de moi. « Une belle victoire, [Root.GetSocietyRank] ».;[From.GetTitledFirstName] und ich waren uns ebenbьrtig. Wir kдmpften bereits seit ... Stunden? Ich wusste, dass ich nicht mehr viel lдnger durchhalten wьrde, und stьrzte mich aus Verzweiflung furchtlos auf [From.GetFirstName]. Wir fielen zu Boden und es gelang mir, [From.GetHerHis]en Arm zu verletzen. Der Kцrper von [From.GetFirstName] bebte unter mir, als [From.GetSheHe] zu lachen begann: "Ein fairer Sieg, [Root.GetSocietyRank].";;"[From.GetTitledFirstName] y yo estбbamos igualados/as. Habнan pasado horas. Sabнa que no iba a durar mucho mбs tiempo y, como ъltima medida desesperada y sin temor, me abalancй contra [From.GetHerHim]. Caнmos al suelo y me las arreglй para agarrarle el brazo. El cuerpo de [From.GetFirstName] se sacudiу mientras reнa debajo de mн. "Una victoria justa, [Root.GetSocietyRank]".";;;;;;;;;x
EVTDESC_EADAS_6903_C;We were evenly matched, [From.GetTitledFirstName] and I. I did not remember when we had lost our weapons. Now we were wrestling on the ground, neither of us getting enough of an advantage, sweat soaking our clothes and stinging our eyes. 'Draw?' I breathed. 'Alright, draw,' [From.GetFirstName] chuckled in response.;Nous йtions а niveau йgal, [From.Get_le_TitledFirstName] et moi. Je ne me souvenais pas quand nous avions perdu nos armes. Nous luttions au sol, aucun de nous n'obtenant un avantage suffisant, la sueur trempant nos vкtements et nous picotant les yeux. « Match nul ? », ai-je murmurй. « D'accord, match nul », gloussa [From.GetFirstName] en rйponse.;[From.GetTitledFirstName] und ich waren uns ebenbьrtig. Ich weiЯ nicht mehr, wann wir unsere Waffen verloren. Jetzt rangen wir am Boden miteinander, doch keiner von uns konnte einen entscheidenden Vorteil erringen. SchweiЯ trдnkte unsere Kleider und brannte uns in den Augen. "Unentschieden?", keuchte ich. "Einverstanden, unentschieden", erwiderte [From.GetFirstName] kichernd.;;"[From.GetTitledFirstName] y yo estбbamos igualados/as. No recordaba cuбndo habнamos perdido nuestras armas. Luchбbamos en el suelo en igualdad de condiciones, con el sudor empapбndonos la ropa y haciendo que nos picasen los ojos. "їEmpate?", suspirй. "Muy bien, empate.", respondiу [From.GetFirstName] entre risas.";;;;;;;;;x
EVTDESC_EADAS_6903_D;I was sweating underneath my heavy robe and veil in the relentless noon sun. Where was [From.GetTitledFirstName]? I scanned the crowd nervously, but nothing. And then – the coolness of a blade against my throat. 'Impressive disguise, [From.GetSocietyRank]. I mean it,' [From.GetFirstName] chuckled and gave me a hearty pat on the back.;J'йtais en sueur sous ma robe lourde et mon voile sous le soleil implacable de midi. Oщ йtait [From.Get_le_TitledFirstName] ? J'ai nerveusement balayй la foule du regard, sans pouvoir l'apercevoir. Et puis – la fraоcheur d'une lame contre ma gorge. « Impressionnant dйguisement, [From.GetSocietyRank] », gloussa [From.GetFirstName] me donnant une tape dans le dos.;Ich schwitzte in der unerbittlichen Mittagssonne unter meiner schweren Robe und meinem Schleier. Wo war [From.GetTitledFirstName]? Ich lieЯ nervцs meinen Blick ьber die Menge streichen, ohne Erfolg. Doch dann spьrte ich plцtzlich eine kalte Klinge an meiner Kehle. "Eine beeindruckende Verkleidung, [From.GetSocietyRank], ehrlich", kicherte [From.GetFirstName] und klopfte mir herzlich auf den Rьcken.;;"El sudor brotaba bajo mi pesada bata, mi velo y el incesante sol del mediodнa. їDуnde estaba [From.GetTitledFirstName]? Escudriсй la multitud nerviosamente, pero nada. Y luego... el frнo de una hoja contra mi garganta. "Un disfraz impresionante, [From.GetSocietyRank], lo digo en serio", dijo [From.GetFirstName] entre risas, y me dio una palmadita en la espalda.";;;;;;;;;x
EVTDESC_EADAS_6903_E;We were evenly matched, [From.GetTitledFirstName] and I. I had to try my very hardest to keep [From.GetHerHim] at bay. A droplet of sweat fell into my eye, and as I instinctively raised my hand to wipe it away, [From.GetFirstName] lunged and nicked my arm as we fell. 'Good match, [From.GetSocietyRank],' [From.GetSheHe] chuckled and rolled over on [From.GetHerHis] back.;Nous faisions jeu йgal, [From.Get_le_TitledFirstName] et moi. Je donne tout ce que j'ai pour [From.GetLeLa] contenir. Une gouttelette de sueur tombe soudain dans mon oeil et lorsque je lиve instinctivement la main pour l'essuyer, [From.GetFirstName] fait un mouvement brusque en avant et entaille mon bras tandis que nous tombons. « Bon combat, [From.GetSocietyRank] », glousse-t-[From.GetIlElle], se roulant sur le dos.;[From.GetTitledFirstName] und ich waren uns ebenbьrtig. Es kostete mich grцЯte Mьhe, mir [From.GetFirstName] vom Leib zu halten. Ein SchweiЯtropfen fiel mir ins Auge, und als ich instinktiv meine Hand hob, um ihn wegzuwischen, stьrzte sich [From.GetFirstName] auf mich und fьgte meinem Arm einen Kratzer zu, als wir beide zu Boden fielen. "Ein guter Kampf, [From.GetSocietyRank]", kicherte [From.GetSheHe] und rollte sich auf den Rьcken.;;"[From.GetTitledFirstName] y yo estбbamos igualados/as. Tuve que hacer un gran esfuerzo por mantener el tipo. Una gota de sudor me cayу en el ojo, y cuando, por instinto, levantй la mano para limpiarla, [From.GetFirstName] se abalanzу sobre mн y me rajу el brazo mientras caнamos. "Buena partida, [From.GetSocietyRank]", se rio mientras rodaba por el suelo.";;;;;;;;;x
EVTOPTA_EADAS_6903;We should do this again, [From.GetSocietyRank] [From.GetFirstName].;Nous devrions le refaire, [From.GetSocietyRank] [From.GetFirstName].;Wir sollten dies wieder tun, [From.GetSocietyRank] [From.GetFirstName].;;Deberнamos repetirlo, [From.GetSocietyRank] [From.GetFirstName].;;;;;;;;;x
EVTOPTB_EADAS_6903;[From.GetFirstName], you... you are marvelous.;[From.GetFirstName], vous... vous кtes merveilleu[From.GetXSe].;[From.GetFirstName], Ihr ... Ihr seid fantastisch.;;[From.GetFirstName], eres... increнble.;;;;;;;;;x
EVTOPTB_EADAS_6903_TT;You realize that you had a crush on §Y[From.GetTitledFirstName]§! all along and profess your feelings.;Vous rйalisez que vous avez le bйguin pour [From.Get_le_TitledFirstNameJ] et vous dйclarez vos sentiments.;Euch wird klar, dass Ihr von Anfang an in §Y[From.GetTitledFirstName]§! verschossen wart, und Ihr gesteht [From.GetFirstName] Eure Gefьhle.;;Te das cuenta de que te has enamorado de §Y[From.GetTitledFirstName]§! y le declaras tus sentimientos.;;;;;;;;;x
EVTOPTC_EADAS_6903;Now we both know who the best is.;Sachez que nous savons tous qui est le meilleur assassin.;Jetzt wissen wir beide, wer der Beste ist.;;Ya sabemos quiйn estб por encima.;;;;;;;;;x
EVTOPTC_EADAS_6903_TT;Tell your fellow assassins about how you won over §Y[From.GetTitledFirstName]§!.\n;Vous racontez а vos camarades assassins comment vous l'avez emportй sur [From.Get_le_TitledFirstNameJ].\n;Erzдhlt den anderen Assassinen, wie Ihr gegen §Y[From.GetTitledFirstName]§! gesiegt habt.\n;;Cuйntales a tus camaradas asesinos cуmo derrotaste a §Y[From.GetTitledFirstName]§!.\n;;;;;;;;;x
EVTDESC_EADAS_6904_A;I was sweating underneath my heavy robe and veil in the relentless noon sun, but this was what my training prepared me for. I kept my eyes peeled and within the hour I spotted another whose gait was incredibly familiar. As I placed the dagger against [From.GetFirstName]'s throat, [From.GetSheHe] cursed my name.;J'йtais en sueur sous ma robe lourde et mon voile sous le soleil implacable de midi, mais c'est ce а quoi mon entraоnement m'avait prйparй. J'ai gardй l'oeil ouvert, et dans l'heure j'ai repйrй quelqu'un dont la dйmarche m'йtait incroyablement familiиre. Lorsque j'ai placй le poignard contre la gorge de [From.GetFirstName], [From.GetIlElle] a maudit mon nom.;Ich schwitzte in der unerbittlichen Mittagssonne unter meiner schweren Robe und meinem Schleier, doch darauf hatte mich mein Training vorbereitet. Ich hielt meine Augen offen und erspдhte binnen einer Stunde eine andere Person, deren Gang mir unglaublich vertraut erschien. Als ich [From.GetFirstName] den Dolch an die Kehle setzte, rief [From.GetSheHe] fluchend meinen Namen aus.;;El sudor brotaba bajo mi pesada bata, mi velo y el incesante sol del mediodнa, pero mi entrenamiento me habнa preparado para todo ello. Mantuve los ojos abiertos y una hora mбs tarde vi a otra persona cuyos andares me resultaban increнblemente familiares. Cuando le puse a [From.GetFirstName] la daga en la garganta, maldijo mi nombre.;;;;;;;;;x
EVTDESC_EADAS_6904_B;We were evenly matched, [From.GetTitledFirstName] and I. We had been at it for... hours? I knew I would not last for much longer, and as a last desperate measure, I fearlessly lunged at [From.GetHerHim]. We fell to the ground and I managed to nick [From.GetHerHis] arm. [From.GetFirstName] cursed me loudly as [From.GetSheHe] pushed my body off [From.GetHerHis].;Nous йtions а niveau йgal, [From.Get_le_TitledFirstName] et moi. Nous l'avons йtй pendant... des heures ? Je savais que je ne durerais pas longtemps, et comme derniиre tentative dйsespйrйe, je me suis jetй sans crainte sur [From.GetLuiElle]. Nous sommes tombйs а terre et j'ai rйussi а entailler son bras. [From.GetFirstName] m'a maudit alors qu'[From.GetIlElle] repoussait mon corps ».;[From.GetTitledFirstName] und ich waren uns ebenbьrtig. Wir kдmpften bereits seit ... Stunden? Ich wusste, dass ich nicht mehr viel lдnger durchhalten wьrde, und stьrzte mich aus Verzweiflung furchtlos auf [From.GetFirstName]. Wir fielen zu Boden und es gelang mir, [From.GetHerHis]en Arm zu verletzen. [From.GetFirstName] fluchte laut, als [From.GetSheHe] meinen Kцrper vom eigenen herunterwдlzte.;;[From.GetTitledFirstName] y yo estбbamos igualados/as. Habнan pasado horas. Sabнa que no iba a durar mucho mбs tiempo y, como ъltima medida desesperada y sin temor, me abalancй contra [From.GetHerHim]. Caнmos al suelo y me las arreglй para rajarle el brazo. [From.GetFirstName] me maldijo con todas sus fuerzas mientras me apartaba.;;;;;;;;;x
EVTOPTA_EADAS_6904;Who is the master now, you [GetRootFromInsult]!;C'est qui le maоtre maintenant, [GetRootFromInsultNounAdj] !;Wer ist jetzt der wahre Meister, du [GetRootFromInsult]?!;;їY ahora quiйn es mejor, [GetRootFromInsult]?;;;;;;;;;x
EVTOPTA_EADAS_6904_TT;Punish §Y[From.GetTitledFirstName]§!.\n;Vous punissez [From.Get_le_TitledFirstNameJ].\n;Bestraft §Y[From.GetTitledFirstName]§!.\n;;Castiga a §Y[From.GetTitledFirstName]§!.\n;;;;;;;;;x
EVTOPTB_EADAS_6904;I am bigger than this.;Je vaux mieux que зa.;Darьber bin ich erhaben.;;Estoy por encima de esto.;;;;;;;;;x
EVTOPTB_EADAS_6904_TT;Now that you have won over §Y[From.GetTitledFirstName]§!, go back to ignoring [From.GetHerHim].\n;А prйsent que vous avez gagnй contre [From.Get_le_TitledFirstNameJ], vous l'ignorez de nouveau.\n;Nachdem Ihr jetzt ьber §Y[From.GetTitledFirstName]§! gesiegt habt, ignoriert [From.GetFirstName] einfach wieder.\n;;Ahora que has superado a §Y[From.GetTitledFirstName]§!, sigues con tu vida.\n;;;;;;;;;x
EVTDESC_EADAS_6905_A;I was sweating underneath my heavy robe and veil in the relentless noon sun. Where was [From.GetTitledFirstName]? I scanned the crowd nervously, but nothing. And then – the coolness of a blade against my throat. 'Who laughs now, [Root.GetFirstName]?' [From.GetFirstName] whispered before slashing the dagger across my shoulder.;J'йtais en sueur sous ma robe lourde et mon voile sous le soleil implacable de midi. Oщ йtait [From.Get_le_TitledFirstName] ? J'ai balayй la foule du regard nerveusement, mais rien. Et puis – la fraоcheur d'une lame contre ma gorge. « Qui rit maintenant, [Root.GetFirstName] », a murmurй [From.GetFirstName] avant d'entailler mon йpaule avec sa dague.;Ich schwitzte in der unerbittlichen Mittagssonne unter meiner schweren Robe und meinem Schleier. Wo war [From.GetTitledFirstName]? Ich lieЯ nervцs meinen Blick ьber die Menge streichen, ohne Erfolg. Doch dann spьrte ich plцtzlich eine kalte Klinge an meiner Kehle. "Wer lacht jetzt, [Root.GetFirstName]?", flьsterte [From.GetFirstName] und ritzte mir danach mit dem Dolch ьber meine Schulter.;;"El sudor brotaba bajo mi pesada bata, mi velo y el incesante sol del mediodнa. їDуnde estaba [From.GetTitledFirstName]? Escudriсй la multitud nerviosamente, pero nada. Y entonces... sentн el frнo de una hoja contra mi garganta. "їQuiйn rнe ahora, [Root.GetFirstName]?", susurrу [From.GetFirstName] antes de rajarme el hombro con la daga.";;;;;;;;;x
EVTDESC_EADAS_6905_B;We were evenly matched, [From.GetTitledFirstName] and I. I had to try my very hardest to keep [From.GetHerHim] at bay. A droplet of sweat fell into my eye, and as I instinctively raised my hand to wipe it away, [From.GetFirstName] lunged and slashed the blade across my dagger hand with a triumphant shout.;Nous йtions а niveau йgal, [From.Get_le_TitledFirstName] et moi. Je devais faire de mon mieux pour [From.GetLeLa] tenir а distance. Une gouttelette de sueur tomba dans mon oeil, et lorsque j'ai levй instinctivement la main pour l'essuyer, [From.GetFirstName] fit un mouvement brusque en avant et coupa net la lame de ma dague en poussant un cri triomphant.;[From.GetTitledFirstName] und ich waren uns ebenbьrtig. Es kostete mich grцЯte Mьhe, mir [From.GetFirstName] vom Leib zu halten. Ein SchweiЯtropfen fiel mir ins Auge, und als ich instinktiv meine Hand hob, um ihn wegzuwischen, stьrzte sich [From.GetFirstName] auf mich und schnitt mir mit einem triumphierenden Schrei ьber die Hand, in der ich meinen Dolch hielt.;;[From.GetTitledFirstName] y yo estбbamos igualados/as. Tuve que hacer un gran esfuerzo por mantener[From.GetHerHim] a raya. Una gota de sudor me cayу en el ojo, y cuando, por instinto, levantй la mano para limpiarla, [From.GetFirstName] se abalanzу sobre mн y me atacу con su hoja, atravesбndome la mano con la que sujetaba la daga y profiriendo un grito triunfal.;;;;;;;;;x
EVTOPTA_EADAS_6905;I will kill that [GetRootFromInsult]!;Je vais tuer c[From.GetEEtte] [GetRootFromInsultNounAdj] !;[GetRootFromInsult]. Ich werde [From.GetHerHim] umbringen!;;ЎTe matarй!;;;;;;;;;x
EVTDESC_EADAS_6907_A;I could read [From.GetFirstName]'s answer in [From.GetHerHis] eyes as soon as the words had escaped my lips and my heart sank like a stone. It took [From.GetHerHim] a moment to recollect [From.GetHerselfHimself]. 'I am flattered, [From.GetFirstName]. Really, I am. But... I do not feel the same way. I'm sorry. Let us be friends?';Je pouvais lire la rйponse de [From.GetFirstName] dans ses yeux а peine les mots sortis de ma bouche et mon coeur s'est serrй. Il lui a fallu un moment pour se reprendre. « Je suis flattй[Root.Get_E], [From.GetFirstName]. Vraiment, je le suis. Mais... je ne ressens pas la mкme chose. Je suis dйsolй[Root.Get_E]. Soyons amis ? »;Ich konnte die Antwort von [From.GetFirstName] in [From.GetHerHis]en Augen lesen, sobald die Worte meinen Lippen entfahren waren, und mir wurde sofort schwer ums Herz. [From.GetSheHeCap] brauchte eine Weile, um sich zu sammeln. "Ich fьhle mich geschmeichelt, [From.GetFirstName], ehrlich. Aber ... ich erwidere diese Gefьhle nicht. Tut mir leid. Lasst uns Freunde sein, einverstanden?";;"Pude leer la respuesta de [From.GetFirstName] en sus ojos desde que las palabras escaparon de mis labios y mi corazуn se rompiу en mil pedazos. Le llevу un instante reaccionar. "Me halaga, de verdad, pero... Yo no siento lo mismo, lo lamento. їAmigos/as?".";;;;;;;;;x
EVTDESC_EADAS_6907_B;For a moment, the world stood still. I could not breathe. Then the most radiant, heart-warming smile spread across [From.GetFirstName]'s [From.GetFaceDescription] face. 'I thought you would never ask, [Root.GetFirstName].';Pendant un moment, le monde s'est arrкtй. Je ne pouvais plus respirer. Puis le sourire le plus radieux et rйconfortant a illuminй le visage [From.GetFaceDescription] de [From.GetFirstName]. « J'ai cru que vous ne me le demanderiez jamais, [Root.GetFirstName]. »;Einen Augenblick lang schien die Welt stillzustehen. Ich konnte nicht mehr atmen. Danach regte sich etwas in den Zьgen von [From.GetFirstName], ein strahlendes, herzerwдrmendes Lдcheln legte sich ьber [From.GetHerHis] [From.GetFaceDescription] Gesicht. "Ich dachte schon, Ihr wьrdet mich nie fragen, [Root.GetFirstName].";;"Por un instante, el mundo se detuvo. No podнa respirar. Entonces, la sonrisa mбs radiante y reconfortante asomу en el rostro de [From.GetFirstName]. "Pensй que nunca me lo pedirнas, [Root.GetFirstName]".";;;;;;;;;x
EVTOPTC_EADAS_6907;I am honored to be your friend, [From.GetFirstName].;Je suis honorй[Root.Get_E] d'кtre votre ami[Root.Get_E], [From.GetFirstName].;Ich fьhle mich geehrt, Euer Freund zu sein, [From.GetFirstName].;;Serб un honor contar con tu amistad, [From.GetFirstName].;;;;;;;;;x
EVTOPTA_EADAS_6907;I... I don't think I can do that.;Je... je ne pense pas pouvoir faire зa.;Ich ... ich glaube nicht, dass ich das tun kann.;;No... No creo que pueda hacerlo.;;;;;;;;;x
EVTOPTB_EADAS_6907;Oh, my [GetRootFromCompliment]!;Oh, mon [GetRootFromCompliment] !;Oh, m[Root.Geteineine] [GetRootFromCompliment]!;;ЎQuй [GetRootFromCompliment]!;;;;;;;;;x
EVTDESC_EADAS_6922_A;I have found out that my superior, [From.GetSocietyRank] [From.GetFirstName], has a guilty pleasure. Despite [From.GetHerHis] sober appearance, when no one is watching, [From.GetSheHe] feasts on wine and treats. I have requested a meeting with [From.GetHerHim] and dropped a hint about my recently acquired knowledge. How should I use it to my advantage?;J'ai dйcouvert que m[From.GetOnA] supйrieur[From.Get_E], [From.Get_le_SocietyRank] [From.GetFirstName], a un plaisir coupable. Malgrй son apparence sobre, quand personne ne regarde, [From.GetIlElle] se dйlecte de vin et de friandises. J'ai demandй une rencontre avec [From.GetLuiElle] et j'ai laissй entendre que j'йtais au courant. Comment dois-je l'utiliser а mon avantage ?;Ich habe herausgefunden, dass m[From.Geteineine] Vorgesetzte[From.GetrMale], [From.GetSocietyRank] [From.GetFirstName], einem kleinen Laster frцnt. Obwohl [From.GetSheHe] stets nьchtern aussieht, lдsst [From.GetSheHe] sich dann, wenn gerade keiner hinsieht, Wein und Leckerbissen schmecken. Ich habe [From.GetFirstName] um eine Unterredung gebeten und angedeutet, was ich vor kurzem entdeckt habe. Wie sollte ich diese Entdeckung zu meinem Vorteil nutzen?;;He averiguado que mi superior, [From.GetSocietyRank] [From.GetFirstName], tiene un placer prohibido. A pesar de su apariencia sobria, cuando estб a solas se atiborra de vino y dulces. He solicitado reunirme con [From.GetHerHim] y le he dado una pista sobre mi descubrimiento. їCуmo podrнa usarlo en beneficio propio?;;;;;;;;;x
